id_fato,id_aluno,id_disciplina,id_curso,id_tempo,nota,aprovado,reprovado,faltas,presencas,freq_percent
48,2061,1,4,9,6.7,1,0,23,96,0.8067226890756303
49,2735,9,6,83,4.1,0,1,29,66,0.6947368421052632
50,4312,14,3,37,9.3,1,0,26,50,0.6578947368421053
51,3643,13,6,21,3.6,0,1,10,94,0.9038461538461539
52,1387,14,3,68,1.9,0,1,25,86,0.7747747747747747
53,1221,5,2,4,8.1,1,0,4,52,0.9285714285714286
54,266,9,6,95,5.8,1,0,30,86,0.7413793103448276
55,599,3,1,21,8.8,1,0,23,77,0.77
56,2311,4,1,79,4.4,0,1,23,60,0.7228915662650602
57,297,2,2,7,1.5,0,1,28,82,0.7454545454545455
58,2023,10,4,39,1.2,0,1,21,48,0.6956521739130435
59,4829,1,4,8,8.8,1,0,9,42,0.8235294117647058
60,996,8,5,62,8.3,1,0,8,79,0.9080459770114943
61,800,10,4,23,9.3,1,0,6,48,0.8888888888888888
62,2423,10,4,48,8.2,1,0,3,40,0.9302325581395349
63,4838,12,3,55,8.9,1,0,26,85,0.7657657657657657
64,3699,1,4,88,8.0,1,0,28,58,0.6744186046511628
65,524,2,2,97,4.1,0,1,27,78,0.7428571428571429
66,1829,13,6,39,7.2,1,0,20,75,0.7894736842105263
67,3711,8,5,54,1.4,0,1,30,70,0.7
68,2236,12,3,50,4.4,0,1,6,98,0.9423076923076923
69,17,12,3,60,1.5,0,1,29,89,0.7542372881355932
70,3979,14,3,71,1.8,0,1,20,77,0.7938144329896907
71,1117,8,5,78,7.9,1,0,22,91,0.8053097345132744
72,456,7,1,95,5.1,1,0,8,100,0.9259259259259259
73,3224,5,2,23,5.3,1,0,30,55,0.6470588235294118
74,2467,6,2,85,4.4,0,1,12,52,0.8125
75,2993,9,6,94,4.6,0,1,3,45,0.9375
76,700,14,3,28,3.7,0,1,23,79,0.7745098039215687
77,1478,6,2,72,3.8,0,1,8,60,0.8823529411764706
78,3341,13,6,38,3.1,0,1,7,47,0.8703703703703703
79,1684,3,1,69,1.1,0,1,23,63,0.7325581395348837
80,3164,2,2,26,4.2,0,1,5,54,0.9152542372881356
81,1930,11,3,93,1.5,0,1,22,42,0.65625
82,2391,7,1,1,8.5,1,0,9,64,0.8767123287671232
83,3622,5,2,5,4.7,0,1,9,92,0.9108910891089109
84,4331,15,5,6,7.6,1,0,3,72,0.96
85,3914,10,4,80,6.0,1,0,3,90,0.967741935483871
86,3999,15,5,78,9.2,1,0,17,91,0.8425925925925926
87,2082,9,6,11,3.2,0,1,22,50,0.6944444444444444
88,4016,8,5,90,1.1,0,1,11,87,0.8877551020408163
89,1329,8,5,42,7.0,1,0,14,80,0.851063829787234
90,1675,13,6,55,0.8,0,1,26,55,0.6790123456790124
91,1535,1,4,39,0.6,0,1,27,93,0.775
92,3259,14,3,32,7.7,1,0,26,50,0.6578947368421053
93,1589,7,1,23,6.4,1,0,3,81,0.9642857142857143
94,4764,13,6,59,5.6,1,0,29,95,0.7661290322580645
95,652,13,6,14,7.9,1,0,6,41,0.8723404255319149
96,3890,4,1,54,3.9,0,1,25,88,0.7787610619469026
97,4912,12,3,52,4.6,0,1,3,77,0.9625
98,3602,10,4,56,7.9,1,0,19,68,0.7816091954022989
99,4295,2,2,49,1.7,0,1,12,71,0.8554216867469879
100,775,13,6,35,0.6,0,1,25,74,0.7474747474747475
101,1424,7,1,85,6.9,1,0,18,71,0.797752808988764
102,337,1,4,57,2.2,0,1,5,98,0.9514563106796117
103,910,13,6,18,4.5,0,1,21,86,0.8037383177570093
104,1152,2,2,46,1.2,0,1,19,91,0.8272727272727273
105,3639,15,5,84,9.6,1,0,19,93,0.8303571428571429
106,3303,13,6,20,4.6,0,1,3,90,0.967741935483871
107,3513,8,5,27,8.3,1,0,30,76,0.7169811320754716
108,1227,9,6,34,1.4,0,1,15,73,0.8295454545454546
109,3393,12,3,12,8.2,1,0,16,94,0.8545454545454545
110,2292,1,4,42,3.0,0,1,11,99,0.9
111,926,3,1,3,4.1,0,1,4,87,0.9560439560439561
112,3093,9,6,61,8.8,1,0,15,40,0.7272727272727273
113,872,5,2,35,6.2,1,0,27,93,0.775
114,4115,8,5,62,1.0,0,1,22,84,0.7924528301886793
115,3007,9,6,83,8.6,1,0,19,87,0.8207547169811321
116,1029,13,6,64,5.5,1,0,3,86,0.9662921348314607
117,1191,11,3,46,6.0,1,0,7,53,0.8833333333333333
118,4616,11,3,73,0.8,0,1,15,96,0.8648648648648649
119,4737,4,1,54,5.0,1,0,28,92,0.7666666666666667
120,2179,3,1,16,3.2,0,1,2,98,0.98
121,1095,12,3,51,0.7,0,1,0,77,1.0
122,543,12,3,18,5.3,1,0,4,70,0.9459459459459459
123,3991,6,2,49,6.6,1,0,11,52,0.8253968253968254
124,4972,10,4,72,7.0,1,0,15,67,0.8170731707317073
125,3827,4,1,21,4.2,0,1,27,92,0.773109243697479
126,2516,3,1,56,6.6,1,0,24,68,0.7391304347826086
127,3626,4,1,4,0.9,0,1,29,48,0.6233766233766234
128,1656,6,2,85,1.4,0,1,21,79,0.79
129,2194,4,1,37,0.4,0,1,29,69,0.7040816326530612
130,594,12,3,95,9.0,1,0,12,49,0.8032786885245902
131,3976,7,1,56,2.6,0,1,16,85,0.8415841584158416
132,2520,9,6,56,0.3,0,1,10,64,0.8648648648648649
133,2056,2,2,30,0.8,0,1,0,65,1.0
134,3292,7,1,100,0.4,0,1,4,79,0.9518072289156626
135,4064,3,1,79,3.0,0,1,3,52,0.9454545454545454
136,2906,14,3,53,0.1,0,1,18,43,0.7049180327868853
137,624,11,3,34,8.0,1,0,0,65,1.0
138,4543,2,2,8,8.8,1,0,20,61,0.7530864197530864
139,4864,14,3,96,3.6,0,1,0,53,1.0
140,3271,14,3,28,6.8,1,0,4,67,0.9436619718309859
141,1406,4,1,61,3.2,0,1,10,87,0.8969072164948454
142,2408,4,1,20,9.5,1,0,23,66,0.7415730337078652
143,83,3,1,62,5.6,1,0,28,64,0.6956521739130435
144,1494,5,2,8,3.8,0,1,22,73,0.7684210526315789
145,1677,8,5,43,6.0,1,0,8,85,0.9139784946236559
146,2921,9,6,62,8.5,1,0,1,91,0.9891304347826086
147,1182,4,1,97,0.2,0,1,20,90,0.8181818181818182
148,534,1,4,96,3.3,0,1,9,42,0.8235294117647058
149,184,7,1,58,9.4,1,0,3,63,0.9545454545454546
150,4299,7,1,64,6.1,1,0,21,48,0.6956521739130435
151,2351,12,3,3,6.3,1,0,15,84,0.8484848484848485
152,2239,14,3,13,3.2,0,1,27,81,0.75
153,3030,15,5,3,4.5,0,1,15,66,0.8148148148148148
154,2120,5,2,74,3.8,0,1,7,95,0.9313725490196079
155,4689,3,1,13,3.0,0,1,25,47,0.6527777777777778
156,4671,7,1,40,1.7,0,1,8,85,0.9139784946236559
157,506,14,3,37,7.7,1,0,12,63,0.84
158,2383,12,3,42,0.8,0,1,2,85,0.9770114942528736
159,3492,1,4,7,6.4,1,0,22,48,0.6857142857142857
160,1244,7,1,88,9.8,1,0,10,98,0.9074074074074074
161,3457,8,5,77,6.2,1,0,13,64,0.8311688311688312
162,1102,5,2,30,8.6,1,0,28,85,0.7522123893805309
163,797,15,5,60,7.9,1,0,21,44,0.676923076923077
164,2475,9,6,87,7.4,1,0,17,79,0.8229166666666666
165,3189,6,2,94,6.5,1,0,17,64,0.7901234567901234
166,847,5,2,53,6.1,1,0,21,92,0.8141592920353983
167,955,12,3,10,8.5,1,0,7,92,0.9292929292929293
168,3125,9,6,60,7.5,1,0,15,57,0.7916666666666666
169,739,3,1,23,7.1,1,0,15,67,0.8170731707317073
170,3979,1,4,87,2.5,0,1,9,99,0.9166666666666666
171,3886,13,6,10,5.4,1,0,18,58,0.7631578947368421
172,522,4,1,78,0.5,0,1,1,74,0.9866666666666667
173,429,9,6,53,1.4,0,1,23,73,0.7604166666666666
174,1897,6,2,94,7.0,1,0,20,70,0.7777777777777778
175,828,5,2,24,4.7,0,1,18,53,0.7464788732394366
176,687,10,4,11,7.3,1,0,29,85,0.7456140350877193
177,524,3,1,43,7.9,1,0,18,92,0.8363636363636363
178,2745,4,1,43,2.1,0,1,4,86,0.9555555555555556
179,2361,2,2,22,8.6,1,0,13,65,0.8333333333333334
180,1457,11,3,6,4.3,0,1,28,60,0.6818181818181818
181,3212,7,1,98,9.2,1,0,1,93,0.9893617021276596
182,29,12,3,20,5.2,1,0,10,90,0.9
183,2489,2,2,9,8.3,1,0,22,47,0.6811594202898551
184,1079,1,4,12,3.6,0,1,4,90,0.9574468085106383
185,3079,15,5,12,8.6,1,0,10,63,0.863013698630137
186,2084,12,3,20,4.6,0,1,29,84,0.7433628318584071
187,3654,11,3,12,6.5,1,0,2,97,0.9797979797979798
188,425,5,2,46,1.4,0,1,16,74,0.8222222222222222
189,3865,7,1,38,7.3,1,0,16,100,0.8620689655172413
190,4186,1,4,80,0.3,0,1,21,56,0.7272727272727273
191,2625,3,1,49,0.3,0,1,22,96,0.8135593220338984
192,896,12,3,95,5.0,1,0,11,93,0.8942307692307693
193,2403,12,3,95,3.8,0,1,3,95,0.9693877551020408
194,1655,8,5,19,8.2,1,0,17,46,0.7301587301587301
195,865,3,1,22,2.1,0,1,9,56,0.8615384615384616
196,4576,9,6,52,9.5,1,0,13,67,0.8375
197,4131,1,4,23,6.1,1,0,11,57,0.8382352941176471
198,4462,6,2,97,9.9,1,0,18,85,0.8252427184466019
199,4886,8,5,43,8.2,1,0,29,51,0.6375
200,3375,6,2,98,4.9,0,1,26,43,0.6231884057971014
201,2838,7,1,18,5.2,1,0,9,58,0.8656716417910447
202,1580,15,5,19,6.2,1,0,1,85,0.9883720930232558
203,4434,2,2,91,0.9,0,1,1,85,0.9883720930232558
204,4878,7,1,23,6.1,1,0,7,76,0.9156626506024096
205,2675,12,3,96,6.4,1,0,2,52,0.9629629629629629
206,3131,2,2,42,7.9,1,0,0,97,1.0
207,60,4,1,64,2.6,0,1,20,94,0.8245614035087719
208,4685,11,3,19,1.2,0,1,4,40,0.9090909090909091
209,3436,15,5,79,9.3,1,0,24,64,0.7272727272727273
210,299,1,4,89,7.2,1,0,14,94,0.8703703703703703
211,2687,8,5,12,3.6,0,1,25,97,0.7950819672131147
212,2708,7,1,18,9.9,1,0,6,76,0.926829268292683
213,2327,8,5,54,3.1,0,1,13,94,0.8785046728971962
214,516,12,3,37,8.3,1,0,14,72,0.8372093023255814
215,3065,10,4,90,8.7,1,0,21,86,0.8037383177570093
216,57,10,4,44,1.2,0,1,23,75,0.7653061224489796
217,238,10,4,41,6.0,1,0,24,43,0.6417910447761194
218,2935,7,1,3,8.5,1,0,26,48,0.6486486486486487
219,3193,14,3,52,7.6,1,0,4,86,0.9555555555555556
220,2787,12,3,13,0.5,0,1,3,63,0.9545454545454546
221,2033,1,4,66,4.7,0,1,1,55,0.9821428571428571
222,1859,1,4,21,2.8,0,1,15,99,0.868421052631579
223,3936,7,1,86,6.2,1,0,13,75,0.8522727272727273
224,4547,15,5,58,7.3,1,0,13,100,0.8849557522123894
225,2407,2,2,8,5.1,1,0,19,82,0.8118811881188119
226,544,1,4,61,6.6,1,0,28,76,0.7307692307692307
227,3555,8,5,22,1.8,0,1,24,73,0.7525773195876289
228,2775,6,2,15,3.4,0,1,20,68,0.7727272727272727
229,295,4,1,34,2.0,0,1,9,90,0.9090909090909091
230,4698,2,2,57,8.1,1,0,2,82,0.9761904761904762
231,410,1,4,30,6.5,1,0,30,61,0.6703296703296703
232,4034,11,3,6,3.3,0,1,17,54,0.7605633802816901
233,1797,15,5,83,8.0,1,0,26,77,0.7475728155339806
234,2301,4,1,81,4.9,0,1,15,63,0.8076923076923077
235,483,7,1,27,4.0,0,1,17,61,0.782051282051282
236,1710,10,4,80,8.6,1,0,22,100,0.819672131147541
237,1508,9,6,52,7.2,1,0,12,99,0.8918918918918919
238,4771,11,3,88,9.2,1,0,7,56,0.8888888888888888
239,656,2,2,47,1.4,0,1,13,57,0.8142857142857143
240,831,11,3,52,3.5,0,1,1,67,0.9852941176470589
241,2432,4,1,91,2.3,0,1,30,41,0.5774647887323944
242,2829,5,2,8,7.5,1,0,12,76,0.8636363636363636
243,3488,6,2,13,2.8,0,1,4,64,0.9411764705882353
244,4572,3,1,59,1.4,0,1,13,88,0.8712871287128713
245,2020,15,5,80,2.5,0,1,1,77,0.9871794871794872
246,1212,15,5,88,1.6,0,1,27,89,0.7672413793103449
247,595,2,2,61,4.7,0,1,11,62,0.8493150684931506
248,1573,7,1,63,2.4,0,1,22,70,0.7608695652173914
249,2384,3,1,9,1.0,0,1,4,46,0.92
250,4754,15,5,81,1.6,0,1,13,87,0.87
251,4928,15,5,31,4.2,0,1,18,77,0.8105263157894737
252,4058,1,4,61,1.9,0,1,19,79,0.8061224489795918
253,3039,6,2,13,2.3,0,1,0,91,1.0
254,1971,11,3,73,5.4,1,0,24,74,0.7551020408163265
255,4263,13,6,55,1.9,0,1,19,58,0.7532467532467533
256,823,3,1,29,0.1,0,1,25,70,0.7368421052631579
257,2915,7,1,98,4.5,0,1,10,55,0.8461538461538461
258,3814,12,3,63,0.4,0,1,12,56,0.8235294117647058
259,1275,3,1,47,4.1,0,1,16,89,0.8476190476190476
260,2981,2,2,56,0.3,0,1,6,47,0.8867924528301887
261,1265,2,2,100,6.2,1,0,2,59,0.9672131147540983
262,2170,3,1,95,1.9,0,1,29,45,0.6081081081081081
263,2554,6,2,36,0.6,0,1,4,70,0.9459459459459459
264,2227,2,2,44,2.5,0,1,8,51,0.864406779661017
265,1272,6,2,48,5.7,1,0,27,48,0.64
266,4091,2,2,80,1.8,0,1,20,40,0.6666666666666666
267,3853,5,2,36,0.8,0,1,3,58,0.9508196721311475
268,4244,7,1,21,6.1,1,0,21,85,0.8018867924528302
269,3989,9,6,25,9.8,1,0,20,72,0.782608695652174
270,2341,6,2,25,5.2,1,0,24,50,0.6756756756756757
271,4688,12,3,16,9.1,1,0,13,67,0.8375
272,469,14,3,35,7.0,1,0,28,84,0.75
273,225,12,3,75,5.6,1,0,29,54,0.6506024096385542
274,3465,9,6,94,4.5,0,1,2,70,0.9722222222222222
275,1187,2,2,48,6.9,1,0,17,95,0.8482142857142857
276,2165,11,3,60,9.6,1,0,9,56,0.8615384615384616
277,342,1,4,8,3.2,0,1,21,55,0.7236842105263158
278,739,11,3,21,1.3,0,1,22,92,0.8070175438596491
279,3420,5,2,75,9.7,1,0,7,49,0.875
280,3623,3,1,39,6.3,1,0,24,83,0.7757009345794392
281,2941,14,3,5,8.8,1,0,7,72,0.9113924050632911
282,4736,15,5,27,3.0,0,1,13,81,0.8617021276595744
283,2294,10,4,75,3.2,0,1,22,97,0.8151260504201681
284,1537,3,1,41,2.0,0,1,15,70,0.8235294117647058
285,2425,13,6,24,1.6,0,1,13,88,0.8712871287128713
286,3622,2,2,49,2.9,0,1,8,55,0.873015873015873
287,2818,2,2,37,3.6,0,1,9,86,0.9052631578947369
288,3315,3,1,50,0.4,0,1,10,54,0.84375
289,4123,6,2,46,3.5,0,1,16,61,0.7922077922077922
290,4683,10,4,13,7.3,1,0,27,80,0.7476635514018691
291,4337,10,4,98,9.1,1,0,7,99,0.9339622641509434
292,2194,8,5,59,6.8,1,0,8,57,0.8769230769230769
293,4729,6,2,72,3.3,0,1,22,78,0.78
294,860,2,2,97,8.6,1,0,26,44,0.6285714285714286
295,1828,15,5,7,8.1,1,0,26,53,0.6708860759493671
296,1187,12,3,11,9.0,1,0,3,94,0.9690721649484536
297,3497,2,2,98,7.8,1,0,20,97,0.8290598290598291
298,3707,7,1,18,3.6,0,1,2,88,0.9777777777777777
299,4708,8,5,27,8.4,1,0,3,80,0.963855421686747
300,247,3,1,82,6.6,1,0,16,80,0.8333333333333334
301,2036,4,1,13,1.4,0,1,10,99,0.908256880733945
302,1158,11,3,65,1.0,0,1,1,97,0.9897959183673469
303,3642,5,2,98,8.7,1,0,17,75,0.8152173913043478
304,4411,8,5,10,9.0,1,0,11,56,0.835820895522388
305,4284,5,2,5,2.7,0,1,7,95,0.9313725490196079
306,4556,15,5,7,0.6,0,1,29,64,0.6881720430107527
307,3352,7,1,43,5.2,1,0,20,44,0.6875
308,2577,14,3,27,6.2,1,0,30,64,0.6808510638297872
309,1276,3,1,31,7.7,1,0,29,79,0.7314814814814815
310,1728,7,1,36,7.7,1,0,18,62,0.775
311,2192,10,4,88,3.1,0,1,29,63,0.6847826086956522
312,4613,15,5,19,0.2,0,1,9,73,0.8902439024390244
313,4568,9,6,47,0.5,0,1,28,53,0.654320987654321
314,1232,6,2,60,6.0,1,0,13,51,0.796875
315,467,14,3,62,9.0,1,0,5,66,0.9295774647887324
316,4965,3,1,47,1.9,0,1,29,48,0.6233766233766234
317,326,10,4,79,6.5,1,0,13,49,0.7903225806451613
318,3704,15,5,18,3.4,0,1,1,71,0.9861111111111112
319,93,2,2,18,7.7,1,0,0,94,1.0
320,4505,5,2,6,4.8,0,1,29,98,0.7716535433070866
321,4251,9,6,21,1.3,0,1,15,48,0.7619047619047619
322,2560,9,6,42,5.9,1,0,7,96,0.9320388349514563
323,519,8,5,66,8.8,1,0,16,70,0.813953488372093
324,4138,14,3,85,9.3,1,0,6,57,0.9047619047619048
325,436,6,2,30,5.4,1,0,29,70,0.7070707070707071
326,3312,8,5,59,9.1,1,0,21,52,0.7123287671232876
327,3939,15,5,81,8.2,1,0,14,76,0.8444444444444444
328,3317,15,5,61,8.2,1,0,17,93,0.8454545454545455
329,321,4,1,53,4.4,0,1,3,85,0.9659090909090909
330,4711,15,5,74,5.8,1,0,21,65,0.7558139534883721
331,3025,14,3,5,0.9,0,1,6,61,0.9104477611940298
332,3958,9,6,19,9.6,1,0,6,80,0.9302325581395349
333,2227,15,5,79,7.4,1,0,29,42,0.5915492957746479
334,4442,4,1,40,0.5,0,1,4,64,0.9411764705882353
335,1154,10,4,48,6.8,1,0,12,59,0.8309859154929577
336,2531,2,2,35,5.4,1,0,15,90,0.8571428571428571
337,4015,8,5,82,2.9,0,1,18,86,0.8269230769230769
338,4639,5,2,16,5.0,1,0,7,64,0.9014084507042254
339,4223,13,6,93,0.1,0,1,18,92,0.8363636363636363
340,4308,15,5,68,9.1,1,0,23,43,0.6515151515151515
341,4802,13,6,25,1.7,0,1,14,78,0.8478260869565217
342,3195,5,2,38,7.2,1,0,24,95,0.7983193277310925
343,533,8,5,46,9.5,1,0,11,48,0.8135593220338984
344,2750,14,3,91,2.3,0,1,30,44,0.5945945945945946
345,1495,13,6,45,3.2,0,1,29,60,0.6741573033707865
346,231,15,5,4,7.6,1,0,6,43,0.8775510204081632
347,4458,10,4,89,8.0,1,0,29,52,0.6419753086419753
348,3897,14,3,53,0.5,0,1,5,70,0.9333333333333333
349,4247,8,5,8,9.5,1,0,30,95,0.76
350,2048,3,1,15,8.4,1,0,10,95,0.9047619047619048
351,4104,13,6,27,6.3,1,0,6,42,0.875
352,1615,12,3,80,1.3,0,1,26,62,0.7045454545454546
353,4299,12,3,55,4.7,0,1,8,54,0.8709677419354839
354,3151,1,4,38,5.0,1,0,19,73,0.7934782608695652
355,4266,4,1,31,3.9,0,1,23,75,0.7653061224489796
356,936,15,5,57,7.3,1,0,10,40,0.8
357,3551,15,5,6,6.9,1,0,9,85,0.9042553191489362
358,3808,2,2,69,8.0,1,0,16,40,0.7142857142857143
359,3194,11,3,80,6.4,1,0,11,44,0.8
360,1905,2,2,75,1.2,0,1,24,57,0.7037037037037037
361,1339,10,4,53,4.5,0,1,6,89,0.9368421052631579
362,128,8,5,33,3.9,0,1,25,75,0.75
363,3188,12,3,27,5.4,1,0,12,58,0.8285714285714286
364,3186,14,3,10,0.6,0,1,23,69,0.75
365,4494,12,3,97,1.0,0,1,14,69,0.8313253012048193
366,4927,5,2,80,1.2,0,1,13,60,0.821917808219178
367,2621,9,6,79,5.5,1,0,4,54,0.9310344827586207
368,4911,2,2,53,7.2,1,0,15,42,0.7368421052631579
369,2407,10,4,13,2.8,0,1,20,47,0.7014925373134329
370,4275,15,5,98,8.0,1,0,13,94,0.8785046728971962
371,1048,4,1,31,9.0,1,0,17,93,0.8454545454545455
372,1939,2,2,52,5.0,1,0,18,43,0.7049180327868853
373,286,4,1,58,1.4,0,1,26,83,0.7614678899082569
374,2514,11,3,63,8.7,1,0,23,82,0.780952380952381
375,4790,11,3,33,1.2,0,1,19,62,0.7654320987654321
376,708,4,1,7,4.9,0,1,10,63,0.863013698630137
377,1206,10,4,5,6.3,1,0,6,62,0.9117647058823529
378,1385,11,3,3,9.6,1,0,29,70,0.7070707070707071
379,280,14,3,71,2.0,0,1,21,48,0.6956521739130435
380,1272,7,1,31,8.0,1,0,0,100,1.0
381,1686,1,4,64,5.0,1,0,24,54,0.6923076923076923
382,4072,2,2,83,4.1,0,1,8,49,0.8596491228070176
383,4969,5,2,100,7.3,1,0,3,49,0.9423076923076923
384,2892,11,3,63,6.1,1,0,17,82,0.8282828282828283
385,1007,14,3,89,1.7,0,1,6,90,0.9375
386,962,11,3,54,9.8,1,0,26,52,0.6666666666666666
387,422,9,6,92,6.1,1,0,5,83,0.9431818181818182
388,3046,7,1,31,8.9,1,0,2,45,0.9574468085106383
389,2392,15,5,3,8.6,1,0,23,46,0.6666666666666666
390,2865,4,1,7,9.9,1,0,25,40,0.6153846153846154
391,2317,1,4,21,4.6,0,1,13,44,0.7719298245614035
392,3824,15,5,63,5.5,1,0,3,50,0.9433962264150944
393,4201,10,4,32,2.5,0,1,7,57,0.890625
394,3057,5,2,18,6.6,1,0,24,86,0.7818181818181819
395,1684,11,3,85,0.9,0,1,15,83,0.8469387755102041
396,4091,9,6,15,9.3,1,0,5,91,0.9479166666666666
397,916,12,3,36,9.5,1,0,15,66,0.8148148148148148
398,2975,11,3,56,3.4,0,1,26,41,0.6119402985074627
399,3914,7,1,20,0.7,0,1,8,96,0.9230769230769231
400,989,7,1,28,8.7,1,0,1,83,0.9880952380952381
401,1140,2,2,37,1.9,0,1,29,41,0.5857142857142857
402,3091,11,3,16,1.2,0,1,8,96,0.9230769230769231
403,568,1,4,96,9.9,1,0,30,58,0.6590909090909091
404,2635,6,2,65,1.9,0,1,0,83,1.0
405,4692,5,2,97,0.6,0,1,4,90,0.9574468085106383
406,2216,5,2,46,1.2,0,1,3,78,0.9629629629629629
407,2518,14,3,53,3.3,0,1,25,69,0.7340425531914894
408,21,10,4,20,2.2,0,1,16,82,0.8367346938775511
409,3859,10,4,67,8.2,1,0,25,100,0.8
410,1500,11,3,29,1.7,0,1,23,93,0.8017241379310345
411,1998,12,3,49,9.7,1,0,14,93,0.8691588785046729
412,201,10,4,71,5.7,1,0,11,53,0.828125
413,2443,3,1,46,6.9,1,0,2,71,0.9726027397260274
414,492,2,2,25,8.1,1,0,10,72,0.8780487804878049
415,4371,14,3,12,6.8,1,0,3,63,0.9545454545454546
416,3065,15,5,98,9.3,1,0,4,56,0.9333333333333333
417,4581,10,4,80,2.5,0,1,0,96,1.0
418,4138,8,5,16,2.0,0,1,24,46,0.6571428571428571
419,3312,2,2,72,5.2,1,0,0,59,1.0
420,564,2,2,90,10.0,1,0,28,95,0.7723577235772358
421,537,11,3,17,3.9,0,1,1,77,0.9871794871794872
422,38,7,1,89,1.2,0,1,22,90,0.8035714285714286
423,1121,12,3,74,7.8,1,0,12,70,0.8536585365853658
424,2192,7,1,91,5.9,1,0,14,72,0.8372093023255814
425,207,4,1,37,5.7,1,0,6,46,0.8846153846153846
426,3570,13,6,30,7.2,1,0,6,84,0.9333333333333333
427,2490,9,6,31,3.7,0,1,14,59,0.8082191780821918
428,4721,1,4,70,3.4,0,1,9,96,0.9142857142857143
429,3995,2,2,63,4.4,0,1,10,61,0.8591549295774648
430,3359,5,2,67,5.8,1,0,12,56,0.8235294117647058
431,1931,3,1,20,7.1,1,0,24,65,0.7303370786516854
432,4811,7,1,30,1.1,0,1,17,100,0.8547008547008547
433,825,6,2,69,6.0,1,0,13,40,0.7547169811320755
434,4805,10,4,26,7.0,1,0,20,80,0.8
435,1307,7,1,26,2.5,0,1,1,78,0.9873417721518988
436,1227,7,1,21,0.2,0,1,9,72,0.8888888888888888
437,1107,5,2,3,1.1,0,1,29,62,0.6813186813186813
438,1191,2,2,58,7.7,1,0,17,47,0.734375
439,416,2,2,85,5.2,1,0,19,68,0.7816091954022989
440,1954,12,3,27,6.9,1,0,5,58,0.9206349206349206
441,3910,2,2,44,6.6,1,0,10,75,0.8823529411764706
442,4796,10,4,78,7.0,1,0,12,89,0.8811881188118812
443,3896,15,5,30,6.1,1,0,6,46,0.8846153846153846
444,3177,10,4,58,7.8,1,0,26,73,0.7373737373737373
445,838,9,6,100,7.8,1,0,11,81,0.8804347826086957
