id_evento,id_aluno,tipo_evento,motivo,id_tempo,semestre_evento,id_curso
63,3923,evasao,Insatisfacao com curso,69,2º Semestre,6
64,860,evasao,Insatisfacao com curso,54,3º Semestre,2
65,4821,trancamento,Financeiro,51,4º Semestre,3
66,1142,jubilamento,Insatisfacao com curso,89,6º Semestre,3
67,170,trancamento,Trabalho,23,5º Semestre,4
68,1369,jubilamento,Insatisfacao com curso,14,2º Semestre,2
69,1425,trancamento,Reprovacoes acumuladas,33,2º Semestre,6
70,4229,evasao,Financeiro,48,4º Semestre,4
71,2482,evasao,Distancia,83,5º Semestre,3
72,1696,evasao,Reprovacoes acumuladas,5,3º Semestre,3
73,4425,troca_turno,Trabalho,61,2º Semestre,6
74,366,evasao,Mudanca de cidade,93,3º Semestre,6
75,3960,trancamento,Insatisfacao com curso,7,3º Semestre,1
76,2589,trancamento,Problemas pessoais,17,5º Semestre,5
77,2170,troca_turno,Distancia,10,3º Semestre,6
78,4973,trancamento,Mudanca de cidade,82,5º Semestre,2
79,4646,troca_turno,Insatisfacao com curso,28,1º Semestre,6
80,3957,troca_turno,Desmotivacao,58,1º Semestre,4
81,1724,jubilamento,Reprovacoes acumuladas,98,4º Semestre,4
82,2719,jubilamento,Financeiro,82,1º Semestre,6
83,4845,trancamento,Problemas pessoais,76,5º Semestre,2
84,3615,jubilamento,Insatisfacao com curso,73,2º Semestre,4
85,470,jubilamento,Reprovacoes acumuladas,25,6º Semestre,1
86,3118,trancamento,Reprovacoes acumuladas,8,3º Semestre,2
87,2441,jubilamento,Problemas pessoais,52,4º Semestre,6
88,907,evasao,Insatisfacao com curso,60,1º Semestre,4
89,1241,troca_turno,Financeiro,24,3º Semestre,5
90,1272,evasao,Desmotivacao,89,2º Semestre,1
91,1052,trancamento,Distancia,93,6º Semestre,3
92,3934,jubilamento,Distancia,24,4º Semestre,2
93,2562,jubilamento,Problemas pessoais,68,2º Semestre,1
94,2594,troca_turno,Distancia,73,2º Semestre,1
95,903,evasao,Insatisfacao com curso,77,4º Semestre,5
96,2965,evasao,Problemas pessoais,45,1º Semestre,6
97,4484,jubilamento,Problemas pessoais,80,6º Semestre,1
98,1148,jubilamento,Mudanca de cidade,56,5º Semestre,1
99,478,evasao,Reprovacoes acumuladas,52,2º Semestre,1
100,2191,troca_turno,Insatisfacao com curso,60,1º Semestre,6
101,842,jubilamento,Desmotivacao,66,5º Semestre,2
102,119,jubilamento,Problemas pessoais,52,2º Semestre,3
103,4389,jubilamento,Distancia,12,1º Semestre,1
104,1005,trancamento,Distancia,8,4º Semestre,4
105,316,jubilamento,Insatisfacao com curso,62,6º Semestre,2
106,3845,jubilamento,Desmotivacao,29,2º Semestre,6
107,2714,trancamento,Reprovacoes acumuladas,58,2º Semestre,2
108,4817,jubilamento,Mudanca de cidade,4,1º Semestre,2
109,4201,jubilamento,Reprovacoes acumuladas,24,5º Semestre,4
110,4768,troca_turno,Desmotivacao,65,5º Semestre,3
111,4085,troca_turno,Mudanca de cidade,76,6º Semestre,4
112,405,trancamento,Distancia,100,4º Semestre,5
113,87,trancamento,Desmotivacao,27,6º Semestre,6
114,1537,evasao,Mudanca de cidade,78,4º Semestre,6
115,2927,evasao,Insatisfacao com curso,72,2º Semestre,6
116,4209,trancamento,Reprovacoes acumuladas,45,5º Semestre,5
117,940,troca_turno,Reprovacoes acumuladas,39,4º Semestre,6
118,3306,jubilamento,Distancia,18,5º Semestre,5
119,3768,jubilamento,Desmotivacao,92,2º Semestre,5
120,3312,trancamento,Financeiro,9,1º Semestre,2
121,2781,trancamento,Distancia,80,5º Semestre,6
122,3594,trancamento,Insatisfacao com curso,100,1º Semestre,3
123,3554,trancamento,Desmotivacao,17,4º Semestre,4
124,2762,jubilamento,Financeiro,43,3º Semestre,3
125,328,troca_turno,Problemas pessoais,71,3º Semestre,1
126,1704,trancamento,Distancia,71,5º Semestre,5
127,2664,jubilamento,Problemas pessoais,40,3º Semestre,4
128,4635,troca_turno,Insatisfacao com curso,1,5º Semestre,2
129,3307,evasao,Distancia,85,1º Semestre,1
130,4422,jubilamento,Reprovacoes acumuladas,29,2º Semestre,5
131,1337,jubilamento,Insatisfacao com curso,88,5º Semestre,6
132,3168,jubilamento,Financeiro,77,3º Semestre,6
133,1073,jubilamento,Mudanca de cidade,28,1º Semestre,5
134,45,evasao,Financeiro,5,2º Semestre,6
135,4481,evasao,Financeiro,99,4º Semestre,3
136,901,troca_turno,Mudanca de cidade,84,6º Semestre,1
137,75,evasao,Financeiro,29,1º Semestre,2
138,4313,evasao,Insatisfacao com curso,86,6º Semestre,2
139,4869,jubilamento,Problemas pessoais,97,4º Semestre,3
140,3131,troca_turno,Distancia,52,5º Semestre,4
141,2331,evasao,Insatisfacao com curso,50,2º Semestre,5
142,3192,troca_turno,Trabalho,66,4º Semestre,2
143,2092,jubilamento,Reprovacoes acumuladas,41,3º Semestre,4
144,100,trancamento,Financeiro,81,4º Semestre,5
145,442,jubilamento,Problemas pessoais,1,4º Semestre,1
146,1381,trancamento,Financeiro,14,1º Semestre,4
147,3493,troca_turno,Trabalho,43,5º Semestre,5
148,3843,troca_turno,Trabalho,36,3º Semestre,6
149,331,troca_turno,Desmotivacao,14,3º Semestre,2
150,1727,jubilamento,Distancia,88,6º Semestre,3
151,1611,troca_turno,Distancia,5,5º Semestre,6
152,749,troca_turno,Insatisfacao com curso,95,3º Semestre,5
153,4875,troca_turno,Trabalho,77,1º Semestre,1
154,793,evasao,Distancia,66,3º Semestre,1
155,807,trancamento,Distancia,29,3º Semestre,6
156,2134,trancamento,Insatisfacao com curso,63,6º Semestre,6
157,4704,jubilamento,Distancia,98,4º Semestre,5
158,4820,evasao,Distancia,52,5º Semestre,1
159,2603,jubilamento,Distancia,31,5º Semestre,2
160,4771,evasao,Mudanca de cidade,78,5º Semestre,5
161,345,jubilamento,Trabalho,77,5º Semestre,6
162,549,trancamento,Financeiro,84,1º Semestre,1
163,3066,evasao,Insatisfacao com curso,58,1º Semestre,4
164,2444,jubilamento,Desmotivacao,81,6º Semestre,3
165,3876,troca_turno,Trabalho,60,6º Semestre,6
166,1772,evasao,Problemas pessoais,47,3º Semestre,1
167,2893,trancamento,Problemas pessoais,83,6º Semestre,6
168,1311,evasao,Distancia,36,3º Semestre,4
169,2496,troca_turno,Reprovacoes acumuladas,75,3º Semestre,2
170,2785,troca_turno,Distancia,99,3º Semestre,2
171,425,evasao,Problemas pessoais,20,6º Semestre,6
172,2851,jubilamento,Desmotivacao,23,6º Semestre,5
173,4674,evasao,Desmotivacao,93,4º Semestre,5
174,308,trancamento,Insatisfacao com curso,18,2º Semestre,3
175,2053,evasao,Problemas pessoais,98,4º Semestre,2
176,1542,troca_turno,Insatisfacao com curso,67,5º Semestre,6
177,2320,jubilamento,Desmotivacao,4,3º Semestre,1
178,3579,trancamento,Reprovacoes acumuladas,68,6º Semestre,3
179,1233,jubilamento,Insatisfacao com curso,22,3º Semestre,5
180,1274,jubilamento,Insatisfacao com curso,54,3º Semestre,1
181,354,trancamento,Mudanca de cidade,33,4º Semestre,5
182,203,evasao,Mudanca de cidade,38,3º Semestre,6
183,1121,troca_turno,Insatisfacao com curso,2,1º Semestre,6
184,2382,evasao,Reprovacoes acumuladas,47,1º Semestre,6
185,361,jubilamento,Trabalho,57,4º Semestre,3
186,3850,trancamento,Trabalho,84,2º Semestre,2
187,3052,trancamento,Mudanca de cidade,49,2º Semestre,4
188,410,evasao,Trabalho,79,4º Semestre,2
189,1346,troca_turno,Mudanca de cidade,99,2º Semestre,3
190,1544,trancamento,Mudanca de cidade,28,1º Semestre,4
191,499,evasao,Desmotivacao,100,6º Semestre,6
192,1016,trancamento,Insatisfacao com curso,68,1º Semestre,2
193,2038,troca_turno,Desmotivacao,13,4º Semestre,3
194,4683,jubilamento,Mudanca de cidade,33,5º Semestre,1
195,4044,evasao,Reprovacoes acumuladas,71,1º Semestre,2
196,454,trancamento,Trabalho,93,3º Semestre,4
197,336,evasao,Financeiro,80,5º Semestre,3
198,4212,trancamento,Distancia,35,3º Semestre,1
199,719,evasao,Desmotivacao,74,4º Semestre,6
200,1904,evasao,Desmotivacao,10,1º Semestre,3
201,796,trancamento,Trabalho,100,3º Semestre,6
202,3518,evasao,Financeiro,57,6º Semestre,4
203,2155,troca_turno,Distancia,52,2º Semestre,1
204,2323,troca_turno,Problemas pessoais,29,5º Semestre,2
205,1218,jubilamento,Problemas pessoais,24,5º Semestre,3
206,862,jubilamento,Desmotivacao,70,3º Semestre,1
207,343,troca_turno,Problemas pessoais,4,5º Semestre,4
208,2567,troca_turno,Mudanca de cidade,4,6º Semestre,4
209,3367,jubilamento,Problemas pessoais,95,2º Semestre,1
210,815,troca_turno,Financeiro,80,4º Semestre,2
211,3615,trancamento,Problemas pessoais,8,6º Semestre,6
212,674,jubilamento,Distancia,21,5º Semestre,3
213,1071,troca_turno,Financeiro,40,2º Semestre,2
214,69,evasao,Mudanca de cidade,23,2º Semestre,1
215,2605,evasao,Problemas pessoais,57,5º Semestre,2
216,3848,trancamento,Desmotivacao,40,6º Semestre,3
217,3795,troca_turno,Problemas pessoais,55,6º Semestre,3
218,1197,trancamento,Insatisfacao com curso,95,6º Semestre,6
219,2559,troca_turno,Reprovacoes acumuladas,93,6º Semestre,1
220,4921,evasao,Insatisfacao com curso,57,2º Semestre,4
221,3531,trancamento,Financeiro,55,2º Semestre,3
222,4889,troca_turno,Insatisfacao com curso,63,2º Semestre,3
223,2611,trancamento,Problemas pessoais,34,1º Semestre,3
224,1721,trancamento,Mudanca de cidade,5,5º Semestre,4
225,362,jubilamento,Problemas pessoais,1,6º Semestre,1
226,4583,jubilamento,Trabalho,38,5º Semestre,4
227,4475,trancamento,Desmotivacao,51,5º Semestre,6
228,4968,jubilamento,Reprovacoes acumuladas,49,1º Semestre,5
229,4964,evasao,Desmotivacao,37,5º Semestre,6
230,1620,evasao,Mudanca de cidade,61,3º Semestre,3
231,249,troca_turno,Trabalho,1,5º Semestre,2
232,4337,troca_turno,Reprovacoes acumuladas,49,2º Semestre,4
233,3873,troca_turno,Mudanca de cidade,97,4º Semestre,5
234,4657,evasao,Trabalho,75,4º Semestre,2
235,1413,troca_turno,Trabalho,34,2º Semestre,1
236,815,troca_turno,Reprovacoes acumuladas,31,3º Semestre,1
237,2243,jubilamento,Problemas pessoais,81,3º Semestre,1
238,3752,troca_turno,Trabalho,10,6º Semestre,1
239,1438,jubilamento,Mudanca de cidade,51,4º Semestre,5
240,2892,trancamento,Trabalho,16,2º Semestre,5
241,1566,jubilamento,Desmotivacao,6,1º Semestre,5
242,1776,trancamento,Desmotivacao,28,5º Semestre,3
243,4845,trancamento,Reprovacoes acumuladas,61,4º Semestre,5
244,4924,trancamento,Insatisfacao com curso,92,4º Semestre,1
245,1379,trancamento,Mudanca de cidade,47,1º Semestre,3
246,4880,troca_turno,Problemas pessoais,94,1º Semestre,1
247,495,trancamento,Financeiro,3,3º Semestre,1
248,4194,evasao,Desmotivacao,53,4º Semestre,2
249,289,trancamento,Mudanca de cidade,55,1º Semestre,1
250,1386,evasao,Trabalho,12,6º Semestre,4
251,2236,jubilamento,Trabalho,87,6º Semestre,5
252,4352,troca_turno,Problemas pessoais,58,4º Semestre,2
253,578,evasao,Trabalho,11,6º Semestre,1
254,3326,evasao,Financeiro,30,1º Semestre,6
255,4352,jubilamento,Insatisfacao com curso,29,4º Semestre,1
256,3187,evasao,Distancia,36,3º Semestre,3
257,2889,evasao,Reprovacoes acumuladas,9,2º Semestre,6
258,1044,troca_turno,Distancia,54,4º Semestre,3
259,351,evasao,Trabalho,62,6º Semestre,6
260,439,jubilamento,Mudanca de cidade,73,6º Semestre,3
261,4906,evasao,Problemas pessoais,42,4º Semestre,5
262,4516,jubilamento,Insatisfacao com curso,16,3º Semestre,6
263,1721,jubilamento,Trabalho,23,1º Semestre,1
264,2283,jubilamento,Trabalho,41,5º Semestre,2
265,4483,jubilamento,Desmotivacao,51,3º Semestre,4
266,4152,jubilamento,Mudanca de cidade,80,4º Semestre,6
267,2104,jubilamento,Desmotivacao,4,2º Semestre,4
268,4199,evasao,Trabalho,59,6º Semestre,3
269,2724,trancamento,Trabalho,81,5º Semestre,3
270,524,troca_turno,Financeiro,48,3º Semestre,1
271,2197,troca_turno,Problemas pessoais,45,6º Semestre,6
272,3793,trancamento,Distancia,44,3º Semestre,1
273,1832,troca_turno,Trabalho,37,6º Semestre,4
274,289,trancamento,Insatisfacao com curso,72,1º Semestre,5
275,2334,troca_turno,Desmotivacao,79,3º Semestre,6
276,3612,jubilamento,Insatisfacao com curso,53,3º Semestre,1
277,2788,jubilamento,Insatisfacao com curso,49,4º Semestre,3
278,2186,jubilamento,Desmotivacao,11,2º Semestre,5
279,3418,trancamento,Distancia,26,4º Semestre,2
280,4053,jubilamento,Distancia,82,2º Semestre,4
281,2426,evasao,Reprovacoes acumuladas,81,1º Semestre,4
282,588,trancamento,Reprovacoes acumuladas,62,6º Semestre,2
283,1282,troca_turno,Desmotivacao,56,1º Semestre,2
284,4266,evasao,Problemas pessoais,24,1º Semestre,6
285,440,troca_turno,Insatisfacao com curso,85,2º Semestre,6
286,2332,evasao,Desmotivacao,53,2º Semestre,4
287,2747,trancamento,Distancia,75,3º Semestre,2
288,1050,jubilamento,Distancia,77,2º Semestre,2
289,3518,trancamento,Problemas pessoais,91,3º Semestre,2
290,419,troca_turno,Mudanca de cidade,87,1º Semestre,4
291,2851,evasao,Insatisfacao com curso,98,6º Semestre,2
292,617,evasao,Mudanca de cidade,4,1º Semestre,6
293,1046,jubilamento,Financeiro,98,2º Semestre,4
294,446,troca_turno,Mudanca de cidade,2,5º Semestre,2
295,3853,evasao,Reprovacoes acumuladas,91,4º Semestre,6
296,2935,jubilamento,Insatisfacao com curso,46,6º Semestre,3
297,1308,evasao,Financeiro,85,6º Semestre,5
298,1721,evasao,Desmotivacao,66,5º Semestre,4
299,1855,jubilamento,Reprovacoes acumuladas,24,2º Semestre,1
300,1866,troca_turno,Reprovacoes acumuladas,67,6º Semestre,4
301,1442,trancamento,Reprovacoes acumuladas,3,2º Semestre,5
302,2686,evasao,Problemas pessoais,35,5º Semestre,4
303,401,evasao,Financeiro,11,4º Semestre,6
304,1684,troca_turno,Financeiro,1,1º Semestre,3
305,1350,evasao,Desmotivacao,77,4º Semestre,6
306,326,trancamento,Desmotivacao,25,1º Semestre,2
307,3014,trancamento,Mudanca de cidade,10,3º Semestre,2
308,353,trancamento,Distancia,15,3º Semestre,1
309,1265,jubilamento,Desmotivacao,84,3º Semestre,6
310,1032,evasao,Insatisfacao com curso,15,6º Semestre,1
311,2626,troca_turno,Distancia,26,1º Semestre,2
312,4407,jubilamento,Trabalho,47,6º Semestre,2
313,3766,trancamento,Mudanca de cidade,46,6º Semestre,6
314,2943,troca_turno,Reprovacoes acumuladas,32,2º Semestre,3
315,1347,jubilamento,Problemas pessoais,89,4º Semestre,3
316,4678,jubilamento,Insatisfacao com curso,50,2º Semestre,3
317,4743,troca_turno,Mudanca de cidade,85,1º Semestre,5
318,3745,jubilamento,Distancia,67,5º Semestre,6
319,1474,evasao,Insatisfacao com curso,6,2º Semestre,4
320,1084,jubilamento,Reprovacoes acumuladas,70,3º Semestre,2
321,1225,jubilamento,Desmotivacao,11,4º Semestre,4
322,1073,evasao,Desmotivacao,93,5º Semestre,5
323,4244,jubilamento,Mudanca de cidade,12,6º Semestre,1
324,4266,trancamento,Distancia,24,4º Semestre,6
325,2626,evasao,Problemas pessoais,2,6º Semestre,4
326,3577,jubilamento,Distancia,42,1º Semestre,3
327,2742,trancamento,Distancia,75,4º Semestre,3
328,3043,troca_turno,Desmotivacao,71,3º Semestre,1
329,4746,trancamento,Distancia,15,5º Semestre,5
330,2834,evasao,Reprovacoes acumuladas,48,6º Semestre,6
331,1550,jubilamento,Mudanca de cidade,74,6º Semestre,4
332,2860,troca_turno,Problemas pessoais,60,2º Semestre,4
333,2793,troca_turno,Insatisfacao com curso,95,4º Semestre,4
334,522,evasao,Desmotivacao,14,6º Semestre,4
335,3164,evasao,Reprovacoes acumuladas,95,6º Semestre,6
336,4105,trancamento,Reprovacoes acumuladas,95,6º Semestre,1
337,2232,trancamento,Financeiro,72,4º Semestre,2
338,4286,jubilamento,Financeiro,16,1º Semestre,4
339,3839,trancamento,Problemas pessoais,81,6º Semestre,3
340,2249,evasao,Reprovacoes acumuladas,55,1º Semestre,2
341,478,evasao,Insatisfacao com curso,27,2º Semestre,5
342,2730,trancamento,Reprovacoes acumuladas,72,6º Semestre,1
343,4992,evasao,Reprovacoes acumuladas,100,6º Semestre,2
344,4201,evasao,Reprovacoes acumuladas,87,2º Semestre,3
345,3439,jubilamento,Financeiro,99,2º Semestre,2
346,2398,evasao,Desmotivacao,4,4º Semestre,1
347,1852,evasao,Reprovacoes acumuladas,83,3º Semestre,6
348,1519,troca_turno,Problemas pessoais,98,5º Semestre,5
349,4312,troca_turno,Insatisfacao com curso,83,4º Semestre,2
350,4109,jubilamento,Mudanca de cidade,7,5º Semestre,5
351,4020,troca_turno,Mudanca de cidade,44,3º Semestre,4
352,3613,jubilamento,Mudanca de cidade,96,1º Semestre,1
353,691,evasao,Problemas pessoais,25,5º Semestre,6
354,4776,evasao,Trabalho,55,6º Semestre,6
355,2033,jubilamento,Insatisfacao com curso,46,1º Semestre,3
356,3234,evasao,Financeiro,18,3º Semestre,2
357,159,evasao,Reprovacoes acumuladas,91,6º Semestre,5
358,2321,evasao,Desmotivacao,83,6º Semestre,3
359,2509,evasao,Reprovacoes acumuladas,94,6º Semestre,3
360,27,evasao,Insatisfacao com curso,60,3º Semestre,5
361,2937,evasao,Desmotivacao,41,3º Semestre,3
362,1027,jubilamento,Desmotivacao,93,1º Semestre,3
363,4259,evasao,Desmotivacao,42,3º Semestre,1
364,1474,trancamento,Problemas pessoais,1,1º Semestre,5
365,4892,troca_turno,Insatisfacao com curso,45,3º Semestre,5
366,4485,trancamento,Financeiro,51,6º Semestre,4
367,3479,jubilamento,Desmotivacao,4,4º Semestre,4
368,1591,trancamento,Reprovacoes acumuladas,6,2º Semestre,4
369,4475,trancamento,Desmotivacao,50,2º Semestre,1
370,4504,jubilamento,Trabalho,58,4º Semestre,3
371,2727,jubilamento,Problemas pessoais,72,6º Semestre,5
372,974,evasao,Mudanca de cidade,49,1º Semestre,4
373,1973,jubilamento,Insatisfacao com curso,38,2º Semestre,2
374,604,evasao,Problemas pessoais,26,1º Semestre,3
375,9,trancamento,Financeiro,62,1º Semestre,6
376,368,troca_turno,Financeiro,98,2º Semestre,6
377,1778,jubilamento,Distancia,47,1º Semestre,5
378,3299,evasao,Desmotivacao,3,2º Semestre,5
379,3395,troca_turno,Trabalho,72,5º Semestre,6
380,4996,troca_turno,Distancia,70,3º Semestre,1
381,451,trancamento,Distancia,54,6º Semestre,6
382,4969,troca_turno,Trabalho,87,2º Semestre,2
383,2116,evasao,Trabalho,8,6º Semestre,1
384,1453,troca_turno,Reprovacoes acumuladas,76,6º Semestre,1
385,3410,troca_turno,Desmotivacao,90,3º Semestre,3
386,1729,jubilamento,Distancia,82,1º Semestre,1
387,3064,jubilamento,Trabalho,10,5º Semestre,5
388,1916,evasao,Financeiro,30,1º Semestre,6
389,2924,troca_turno,Insatisfacao com curso,3,2º Semestre,3
390,2095,evasao,Problemas pessoais,40,1º Semestre,6
391,2462,troca_turno,Financeiro,64,3º Semestre,3
392,2239,evasao,Reprovacoes acumuladas,98,6º Semestre,6
393,2966,jubilamento,Mudanca de cidade,39,3º Semestre,3
394,1179,trancamento,Problemas pessoais,51,3º Semestre,1
395,3891,troca_turno,Desmotivacao,12,6º Semestre,2
396,2234,evasao,Trabalho,84,4º Semestre,2
397,4606,jubilamento,Problemas pessoais,69,2º Semestre,3
398,4005,jubilamento,Desmotivacao,90,1º Semestre,3
399,4534,evasao,Trabalho,7,2º Semestre,4
400,1061,troca_turno,Desmotivacao,27,2º Semestre,5
401,3346,evasao,Desmotivacao,3,1º Semestre,2
402,350,trancamento,Financeiro,50,3º Semestre,4
403,1698,jubilamento,Financeiro,3,6º Semestre,5
404,810,trancamento,Problemas pessoais,40,1º Semestre,6
405,742,trancamento,Financeiro,99,4º Semestre,2
406,1976,evasao,Problemas pessoais,52,4º Semestre,4
407,1281,evasao,Insatisfacao com curso,66,5º Semestre,2
408,2834,jubilamento,Desmotivacao,36,6º Semestre,1
409,3847,trancamento,Reprovacoes acumuladas,8,2º Semestre,4
410,129,troca_turno,Trabalho,78,2º Semestre,1
411,2855,evasao,Distancia,60,1º Semestre,5
412,4342,evasao,Financeiro,75,5º Semestre,3
413,2168,trancamento,Reprovacoes acumuladas,18,3º Semestre,6
414,4329,troca_turno,Mudanca de cidade,46,2º Semestre,2
415,2294,troca_turno,Financeiro,40,1º Semestre,4
416,1797,troca_turno,Reprovacoes acumuladas,94,6º Semestre,2
417,4619,jubilamento,Mudanca de cidade,76,1º Semestre,1
418,1605,jubilamento,Distancia,37,6º Semestre,6
419,841,jubilamento,Problemas pessoais,38,4º Semestre,5
420,4708,jubilamento,Trabalho,90,5º Semestre,3
421,51,evasao,Distancia,3,5º Semestre,2
422,4216,troca_turno,Trabalho,9,4º Semestre,2
423,2192,trancamento,Financeiro,16,4º Semestre,3
424,2058,evasao,Desmotivacao,87,6º Semestre,6
425,4218,jubilamento,Distancia,79,6º Semestre,6
426,1734,trancamento,Desmotivacao,13,4º Semestre,6
427,3332,evasao,Insatisfacao com curso,28,1º Semestre,1
428,2497,evasao,Trabalho,13,1º Semestre,5
429,2414,evasao,Reprovacoes acumuladas,53,4º Semestre,5
430,4493,jubilamento,Mudanca de cidade,34,6º Semestre,5
431,486,trancamento,Mudanca de cidade,16,5º Semestre,3
432,429,jubilamento,Distancia,83,1º Semestre,1
433,3422,troca_turno,Desmotivacao,36,6º Semestre,1
434,1005,trancamento,Mudanca de cidade,32,2º Semestre,1
435,1883,troca_turno,Desmotivacao,99,4º Semestre,2
436,3295,evasao,Insatisfacao com curso,74,5º Semestre,3
437,2147,troca_turno,Reprovacoes acumuladas,70,4º Semestre,3
438,2201,jubilamento,Desmotivacao,16,2º Semestre,3
439,517,trancamento,Reprovacoes acumuladas,80,1º Semestre,6
440,3424,jubilamento,Insatisfacao com curso,82,1º Semestre,3
441,3543,jubilamento,Financeiro,7,1º Semestre,6
442,2259,evasao,Desmotivacao,32,4º Semestre,1
443,4655,jubilamento,Insatisfacao com curso,22,4º Semestre,2
444,902,trancamento,Desmotivacao,9,3º Semestre,4
445,3784,trancamento,Trabalho,46,4º Semestre,3
446,1821,jubilamento,Reprovacoes acumuladas,83,1º Semestre,2
447,3127,jubilamento,Desmotivacao,81,1º Semestre,1
448,3148,jubilamento,Reprovacoes acumuladas,18,5º Semestre,6
449,3522,trancamento,Distancia,40,6º Semestre,2
450,2373,trancamento,Financeiro,11,3º Semestre,5
451,1405,trancamento,Trabalho,7,2º Semestre,6
452,3083,trancamento,Problemas pessoais,86,2º Semestre,5
453,189,trancamento,Mudanca de cidade,73,1º Semestre,3
454,3373,troca_turno,Mudanca de cidade,37,2º Semestre,1
455,2111,jubilamento,Insatisfacao com curso,98,5º Semestre,4
456,4082,trancamento,Trabalho,41,4º Semestre,4
457,373,trancamento,Insatisfacao com curso,85,1º Semestre,1
458,743,troca_turno,Financeiro,3,2º Semestre,3
459,1607,evasao,Trabalho,5,1º Semestre,5
460,4148,troca_turno,Reprovacoes acumuladas,90,2º Semestre,2
461,2560,troca_turno,Mudanca de cidade,44,5º Semestre,6
462,2346,trancamento,Financeiro,23,5º Semestre,1
463,3330,troca_turno,Desmotivacao,50,3º Semestre,5
464,2734,trancamento,Insatisfacao com curso,90,5º Semestre,5
465,3919,evasao,Problemas pessoais,91,6º Semestre,6
466,3568,jubilamento,Insatisfacao com curso,35,5º Semestre,3
467,2761,troca_turno,Distancia,41,1º Semestre,5
468,1809,troca_turno,Mudanca de cidade,60,5º Semestre,1
469,4647,troca_turno,Distancia,60,2º Semestre,3
470,2823,trancamento,Insatisfacao com curso,58,2º Semestre,5
