id_deslocamento,id_aluno,tempo_min,qtd_transportes,modal_principal
175,175,82,2,onibus
176,176,74,4,carro
177,177,32,4,carro
178,178,79,3,carro
179,179,93,3,bicicleta
180,180,30,2,onibus
181,181,72,3,a_pe
182,182,54,3,carro
183,183,118,2,carro
184,184,122,4,bicicleta
185,185,18,2,a_pe
186,186,71,1,onibus
187,187,65,4,metro
188,188,27,1,onibus
189,189,81,4,onibus
190,190,85,2,onibus
191,191,67,1,a_pe
192,192,99,4,metro
193,193,36,2,carro
194,194,47,1,onibus
195,195,87,1,metro
196,196,99,4,a_pe
197,197,58,1,carro
198,198,113,1,bicicleta
199,199,8,4,bicicleta
200,200,115,3,carro
201,201,21,3,a_pe
202,202,64,4,onibus
203,203,12,3,metro
204,204,107,3,bicicleta
205,205,61,4,carro
206,206,68,1,metro
207,207,48,3,carro
208,208,116,3,bicicleta
209,209,43,4,bicicleta
210,210,90,3,onibus
211,211,81,4,onibus
212,212,37,1,onibus
213,213,111,3,onibus
214,214,93,1,carro
215,215,43,3,carro
216,216,114,4,metro
217,217,88,3,metro
218,218,111,1,a_pe
219,219,49,2,bicicleta
220,220,120,4,metro
221,221,106,1,a_pe
222,222,120,4,a_pe
223,223,100,4,a_pe
224,224,50,2,carro
225,225,87,3,metro
226,226,6,2,onibus
227,227,112,3,a_pe
228,228,80,4,onibus
229,229,56,3,bicicleta
230,230,13,1,metro
231,231,40,3,onibus
232,232,106,4,a_pe
233,233,75,2,a_pe
234,234,33,3,onibus
235,235,91,4,bicicleta
236,236,11,1,bicicleta
237,237,22,2,a_pe
238,238,20,4,a_pe
239,239,26,2,bicicleta
240,240,87,2,carro
241,241,28,4,onibus
242,242,15,4,a_pe
243,243,27,4,carro
244,244,47,1,metro
245,245,21,4,onibus
246,246,29,3,carro
247,247,125,2,a_pe
248,248,122,1,onibus
249,249,90,2,metro
250,250,30,2,onibus
251,251,11,2,carro
252,252,115,2,onibus
253,253,40,4,a_pe
254,254,98,3,onibus
255,255,104,4,onibus
256,256,74,3,metro
257,257,34,1,onibus
258,258,48,4,carro
259,259,94,2,carro
260,260,113,4,metro
261,261,126,4,carro
262,262,29,1,bicicleta
263,263,38,2,metro
264,264,53,3,bicicleta
265,265,24,1,carro
266,266,24,4,carro
267,267,51,4,onibus
268,268,53,4,metro
269,269,88,2,onibus
270,270,31,2,metro
271,271,17,4,bicicleta
272,272,96,1,a_pe
273,273,5,1,bicicleta
274,274,24,1,carro
275,275,48,4,carro
276,276,129,1,metro
277,277,126,3,onibus
278,278,27,1,bicicleta
279,279,74,2,metro
280,280,42,1,onibus
281,281,65,1,bicicleta
282,282,120,3,carro
283,283,94,3,carro
284,284,117,4,a_pe
285,285,99,4,bicicleta
286,286,101,4,metro
287,287,49,2,a_pe
288,288,62,1,onibus
289,289,67,1,metro
290,290,10,2,carro
291,291,129,3,a_pe
292,292,93,3,onibus
293,293,85,4,carro
294,294,53,3,bicicleta
295,295,97,2,metro
296,296,5,1,metro
297,297,28,3,metro
298,298,21,2,a_pe
299,299,16,4,a_pe
300,300,44,2,metro
301,301,89,2,carro
302,302,122,1,bicicleta
303,303,84,4,metro
304,304,122,1,onibus
305,305,13,3,metro
306,306,127,2,a_pe
307,307,101,1,bicicleta
308,308,124,2,onibus
309,309,58,4,a_pe
310,310,85,3,metro
311,311,11,1,onibus
312,312,68,2,onibus
313,313,10,1,onibus
314,314,83,1,onibus
315,315,127,3,a_pe
316,316,9,1,carro
317,317,28,1,carro
318,318,79,3,a_pe
319,319,120,4,bicicleta
320,320,108,4,carro
321,321,16,1,metro
322,322,75,3,metro
323,323,65,2,metro
324,324,63,2,bicicleta
325,325,120,2,bicicleta
326,326,6,2,carro
327,327,106,2,metro
328,328,44,3,bicicleta
329,329,74,1,a_pe
330,330,103,4,bicicleta
331,331,109,4,carro
332,332,64,4,a_pe
333,333,45,3,metro
334,334,78,3,bicicleta
335,335,127,2,bicicleta
336,336,77,1,carro
337,337,59,2,onibus
338,338,26,3,carro
339,339,92,2,carro
340,340,63,3,bicicleta
341,341,95,1,onibus
342,342,56,1,bicicleta
343,343,38,4,bicicleta
344,344,92,1,bicicleta
345,345,25,2,metro
346,346,32,3,carro
347,347,86,3,carro
348,348,63,3,bicicleta
349,349,43,3,a_pe
350,350,104,3,carro
351,351,129,3,onibus
352,352,94,3,metro
353,353,20,3,a_pe
354,354,22,1,carro
355,355,21,4,onibus
356,356,66,1,metro
357,357,30,1,carro
358,358,34,2,a_pe
359,359,56,3,a_pe
360,360,19,2,metro
361,361,98,3,carro
362,362,38,3,metro
363,363,119,3,bicicleta
364,364,104,1,metro
365,365,61,2,onibus
366,366,110,4,a_pe
367,367,61,2,onibus
368,368,125,4,bicicleta
369,369,8,2,bicicleta
370,370,83,2,carro
371,371,56,4,metro
372,372,11,4,carro
373,373,128,2,bicicleta
374,374,19,1,bicicleta
375,375,126,2,bicicleta
376,376,124,2,bicicleta
377,377,124,1,bicicleta
378,378,112,2,carro
379,379,6,4,metro
380,380,84,3,bicicleta
381,381,86,3,carro
382,382,6,3,onibus
383,383,55,1,carro
384,384,17,1,carro
385,385,58,2,a_pe
386,386,129,3,a_pe
387,387,103,4,metro
388,388,14,4,a_pe
389,389,123,2,a_pe
390,390,117,2,carro
391,391,34,1,carro
392,392,39,3,a_pe
393,393,116,3,onibus
394,394,95,3,bicicleta
395,395,82,4,carro
396,396,31,1,onibus
397,397,42,3,a_pe
398,398,100,2,metro
399,399,74,3,carro
400,400,46,3,carro
401,401,107,1,onibus
402,402,21,2,metro
403,403,14,3,bicicleta
404,404,17,2,onibus
405,405,21,1,carro
406,406,117,2,onibus
407,407,75,2,onibus
408,408,77,2,metro
409,409,24,1,metro
410,410,96,3,onibus
411,411,108,4,a_pe
412,412,57,4,onibus
413,413,109,4,bicicleta
414,414,30,2,bicicleta
415,415,26,4,a_pe
416,416,62,3,onibus
417,417,92,1,onibus
418,418,81,4,a_pe
419,419,33,3,carro
420,420,79,4,metro
421,421,51,3,bicicleta
422,422,7,1,metro
423,423,16,2,carro
424,424,47,2,onibus
425,425,20,2,carro
426,426,33,3,metro
427,427,60,3,a_pe
428,428,59,2,a_pe
429,429,12,4,a_pe
430,430,86,3,a_pe
431,431,43,3,onibus
432,432,31,1,carro
433,433,70,2,metro
434,434,20,1,bicicleta
435,435,98,3,carro
436,436,126,4,metro
437,437,7,3,carro
438,438,45,2,metro
439,439,17,4,bicicleta
440,440,112,3,carro
441,441,45,1,metro
442,442,54,3,carro
443,443,6,3,bicicleta
444,444,109,2,a_pe
445,445,11,4,metro
446,446,24,3,bicicleta
447,447,78,2,bicicleta
448,448,24,4,a_pe
449,449,69,1,onibus
450,450,8,4,carro
451,451,125,2,bicicleta
452,452,49,3,carro
453,453,98,2,onibus
454,454,45,2,metro
455,455,100,4,onibus
456,456,126,3,onibus
457,457,60,2,a_pe
458,458,7,4,metro
459,459,68,3,metro
460,460,119,1,onibus
461,461,116,3,onibus
462,462,28,3,onibus
463,463,118,4,bicicleta
464,464,83,2,bicicleta
465,465,121,4,a_pe
466,466,98,1,onibus
467,467,124,3,bicicleta
468,468,52,1,carro
469,469,103,1,carro
470,470,115,3,metro
471,471,117,3,bicicleta
472,472,101,4,bicicleta
473,473,41,1,carro
474,474,18,3,a_pe
475,475,128,1,carro
476,476,5,4,a_pe
477,477,109,3,onibus
478,478,46,4,bicicleta
479,479,80,2,metro
480,480,80,1,metro
481,481,63,1,onibus
482,482,55,3,onibus
483,483,44,4,a_pe
484,484,93,2,metro
485,485,6,3,a_pe
486,486,104,1,carro
487,487,18,3,bicicleta
488,488,28,3,metro
489,489,64,4,a_pe
490,490,110,4,carro
491,491,18,4,carro
492,492,35,4,carro
493,493,122,4,a_pe
494,494,102,4,bicicleta
495,495,48,4,metro
496,496,92,4,onibus
497,497,53,3,metro
498,498,55,1,onibus
499,499,17,4,bicicleta
500,500,52,3,metro
501,501,44,1,a_pe
502,502,20,4,bicicleta
503,503,68,3,a_pe
504,504,75,2,carro
505,505,57,2,carro
506,506,98,2,metro
507,507,46,1,onibus
508,508,20,1,onibus
509,509,26,2,onibus
510,510,105,3,bicicleta
511,511,90,1,carro
512,512,14,1,onibus
513,513,16,2,onibus
514,514,108,1,a_pe
515,515,108,3,a_pe
516,516,38,1,carro
517,517,92,4,bicicleta
518,518,60,1,bicicleta
519,519,116,3,metro
520,520,29,1,metro
521,521,99,1,metro
522,522,37,3,bicicleta
523,523,24,3,a_pe
524,524,100,1,bicicleta
525,525,128,1,a_pe
526,526,10,2,a_pe
527,527,71,3,a_pe
528,528,39,2,a_pe
529,529,93,3,metro
530,530,47,3,metro
531,531,91,3,a_pe
532,532,12,2,a_pe
533,533,84,1,carro
534,534,110,3,a_pe
535,535,56,4,bicicleta
536,536,85,2,onibus
537,537,66,2,bicicleta
538,538,63,2,metro
539,539,105,2,onibus
540,540,97,4,onibus
541,541,70,4,metro
542,542,31,3,carro
543,543,49,2,bicicleta
544,544,61,3,onibus
545,545,75,2,bicicleta
546,546,119,1,metro
547,547,127,3,a_pe
548,548,94,1,metro
549,549,76,3,carro
550,550,5,2,a_pe
551,551,71,2,a_pe
552,552,93,2,a_pe
553,553,75,3,bicicleta
554,554,119,3,onibus
555,555,92,3,a_pe
556,556,81,1,carro
557,557,41,4,carro
558,558,15,3,metro
559,559,119,4,bicicleta
560,560,26,4,onibus
561,561,112,4,onibus
562,562,119,2,metro
563,563,92,2,onibus
564,564,127,1,onibus
565,565,92,2,bicicleta
566,566,65,1,a_pe
567,567,86,4,bicicleta
568,568,22,3,a_pe
569,569,45,3,metro
570,570,5,2,metro
571,571,28,2,onibus
572,572,21,1,a_pe
573,573,84,1,metro
574,574,106,3,bicicleta
575,575,109,2,metro
576,576,96,2,metro
577,577,26,4,metro
578,578,33,3,carro
579,579,22,3,onibus
580,580,120,4,onibus
581,581,71,2,bicicleta
582,582,72,1,carro
583,583,101,3,bicicleta
584,584,125,2,metro
585,585,32,2,metro
586,586,27,3,a_pe
587,587,101,4,onibus
588,588,82,4,onibus
589,589,10,1,bicicleta
590,590,56,2,metro
591,591,124,1,metro
592,592,87,2,a_pe
593,593,124,3,metro
594,594,15,3,carro
595,595,89,3,carro
596,596,37,4,metro
597,597,24,4,onibus
598,598,96,1,carro
599,599,71,4,carro
600,600,103,3,metro
601,601,121,2,carro
602,602,83,4,metro
603,603,9,2,a_pe
604,604,37,3,onibus
605,605,72,2,a_pe
606,606,112,3,metro
607,607,23,1,onibus
608,608,56,1,bicicleta
609,609,36,1,a_pe
610,610,67,2,a_pe
611,611,100,4,a_pe
612,612,102,3,bicicleta
613,613,50,4,a_pe
614,614,127,1,carro
615,615,64,2,metro
616,616,34,3,metro
617,617,69,2,a_pe
618,618,103,1,metro
619,619,36,3,onibus
620,620,46,4,bicicleta
621,621,98,3,a_pe
622,622,53,1,bicicleta
623,623,26,4,bicicleta
624,624,20,2,onibus
625,625,64,4,metro
626,626,40,1,bicicleta
627,627,107,3,metro
628,628,25,3,metro
629,629,101,4,carro
630,630,59,1,a_pe
631,631,96,2,a_pe
632,632,24,1,onibus
633,633,65,1,onibus
634,634,19,4,carro
635,635,86,3,carro
636,636,93,4,a_pe
637,637,63,3,a_pe
638,638,36,3,onibus
639,639,10,4,a_pe
640,640,96,3,carro
641,641,38,1,a_pe
642,642,126,1,a_pe
643,643,67,4,bicicleta
644,644,119,1,metro
645,645,7,2,carro
646,646,130,2,metro
647,647,91,1,onibus
648,648,76,2,metro
649,649,43,1,bicicleta
650,650,66,1,carro
651,651,95,3,onibus
652,652,108,2,bicicleta
653,653,85,2,onibus
654,654,104,2,bicicleta
655,655,125,1,metro
656,656,101,3,carro
657,657,31,1,metro
658,658,61,2,onibus
659,659,24,3,onibus
660,660,106,3,bicicleta
661,661,120,1,bicicleta
662,662,74,4,carro
663,663,77,4,metro
664,664,22,2,bicicleta
665,665,22,4,bicicleta
666,666,9,2,bicicleta
667,667,35,4,metro
668,668,116,1,onibus
669,669,58,2,onibus
670,670,40,4,a_pe
671,671,76,4,metro
672,672,121,1,metro
673,673,74,1,a_pe
674,674,79,1,bicicleta
675,675,101,3,bicicleta
676,676,55,4,onibus
677,677,64,4,bicicleta
678,678,126,4,carro
679,679,39,3,bicicleta
680,680,13,1,bicicleta
681,681,49,1,onibus
682,682,18,3,carro
683,683,90,2,a_pe
684,684,104,2,carro
685,685,47,4,metro
686,686,6,1,bicicleta
687,687,100,1,bicicleta
688,688,68,2,carro
689,689,69,3,metro
690,690,114,2,onibus
691,691,21,2,a_pe
692,692,123,2,a_pe
693,693,93,3,metro
694,694,19,3,metro
695,695,67,2,metro
696,696,13,1,carro
697,697,33,3,onibus
698,698,98,4,a_pe
699,699,127,2,bicicleta
700,700,25,4,a_pe
701,701,61,3,bicicleta
702,702,61,2,a_pe
703,703,61,4,onibus
704,704,88,3,a_pe
705,705,8,3,metro
706,706,94,3,a_pe
707,707,122,3,a_pe
708,708,41,1,bicicleta
709,709,53,2,carro
710,710,93,4,bicicleta
711,711,69,4,onibus
712,712,59,3,a_pe
713,713,105,2,bicicleta
714,714,21,1,a_pe
715,715,66,2,a_pe
716,716,103,1,carro
717,717,35,1,bicicleta
718,718,121,1,onibus
719,719,105,1,onibus
720,720,9,4,a_pe
721,721,74,2,onibus
722,722,112,2,a_pe
723,723,31,4,carro
724,724,14,4,onibus
725,725,31,2,metro
726,726,45,1,bicicleta
727,727,16,2,metro
728,728,84,2,metro
729,729,65,3,carro
730,730,116,3,carro
731,731,89,3,carro
732,732,103,3,a_pe
733,733,126,2,a_pe
734,734,71,4,bicicleta
735,735,112,2,carro
736,736,41,4,a_pe
737,737,123,1,a_pe
738,738,44,1,a_pe
739,739,123,4,bicicleta
740,740,54,4,bicicleta
741,741,103,3,metro
742,742,116,1,a_pe
743,743,20,2,a_pe
744,744,59,2,metro
745,745,62,4,onibus
746,746,110,2,carro
747,747,130,2,onibus
748,748,74,4,bicicleta
749,749,115,4,bicicleta
750,750,8,1,metro
751,751,69,1,metro
752,752,126,1,metro
753,753,119,4,metro
754,754,45,1,carro
755,755,60,4,onibus
756,756,9,2,a_pe
757,757,26,2,carro
758,758,101,1,bicicleta
759,759,30,2,carro
760,760,58,2,bicicleta
761,761,115,3,carro
762,762,34,4,metro
763,763,107,2,bicicleta
764,764,37,1,onibus
765,765,115,2,carro
766,766,118,2,onibus
767,767,10,3,metro
768,768,28,1,bicicleta
769,769,130,1,bicicleta
770,770,25,1,metro
771,771,42,4,bicicleta
772,772,55,4,a_pe
773,773,121,4,bicicleta
774,774,31,1,metro
775,775,129,1,a_pe
776,776,26,3,onibus
777,777,83,2,a_pe
778,778,49,1,metro
779,779,67,4,bicicleta
780,780,126,3,bicicleta
781,781,19,3,onibus
782,782,96,4,a_pe
783,783,77,1,bicicleta
784,784,42,3,onibus
785,785,84,2,onibus
786,786,70,3,bicicleta
787,787,100,4,carro
788,788,36,3,onibus
789,789,121,3,onibus
790,790,52,4,bicicleta
791,791,42,3,bicicleta
792,792,113,2,carro
793,793,11,1,onibus
794,794,111,4,carro
795,795,115,2,bicicleta
796,796,62,4,metro
797,797,22,3,a_pe
798,798,105,3,onibus
799,799,21,2,carro
800,800,83,2,onibus
801,801,89,2,metro
802,802,127,4,metro
803,803,52,3,carro
804,804,91,3,carro
805,805,85,1,metro
806,806,92,1,a_pe
807,807,78,3,bicicleta
808,808,21,3,carro
809,809,105,4,a_pe
810,810,128,4,metro
811,811,35,4,a_pe
812,812,90,4,bicicleta
813,813,29,1,a_pe
814,814,45,1,a_pe
815,815,30,1,a_pe
816,816,59,2,a_pe
817,817,101,4,bicicleta
818,818,123,3,onibus
819,819,82,1,a_pe
820,820,31,4,metro
821,821,26,1,a_pe
822,822,54,3,bicicleta
823,823,6,2,a_pe
824,824,13,3,carro
825,825,43,3,onibus
826,826,91,2,bicicleta
827,827,15,3,a_pe
828,828,47,1,carro
829,829,100,3,bicicleta
830,830,43,1,carro
831,831,78,2,metro
832,832,73,2,carro
833,833,96,4,onibus
834,834,95,2,metro
835,835,112,2,carro
836,836,120,1,onibus
837,837,89,4,carro
838,838,117,4,metro
839,839,58,2,bicicleta
840,840,99,1,carro
841,841,73,3,a_pe
842,842,128,1,a_pe
843,843,5,3,metro
844,844,48,1,a_pe
845,845,52,2,onibus
846,846,61,2,a_pe
847,847,123,1,onibus
848,848,74,3,carro
849,849,55,2,onibus
850,850,101,3,a_pe
851,851,92,4,onibus
852,852,103,2,a_pe
853,853,47,1,bicicleta
854,854,73,4,carro
855,855,47,3,metro
856,856,118,4,bicicleta
857,857,81,4,bicicleta
858,858,124,1,a_pe
859,859,96,4,bicicleta
860,860,86,1,bicicleta
861,861,56,3,onibus
862,862,18,4,carro
863,863,87,3,a_pe
864,864,29,2,onibus
865,865,65,4,bicicleta
866,866,102,3,carro
867,867,45,4,carro
868,868,119,4,a_pe
869,869,7,4,onibus
870,870,71,3,carro
871,871,75,2,carro
872,872,74,3,a_pe
873,873,41,2,metro
874,874,114,4,carro
875,875,44,1,onibus
876,876,97,3,a_pe
877,877,51,2,a_pe
878,878,63,1,onibus
879,879,124,3,a_pe
880,880,25,4,a_pe
881,881,118,1,bicicleta
882,882,12,3,metro
883,883,62,2,onibus
884,884,10,3,carro
885,885,55,2,onibus
886,886,59,3,a_pe
887,887,10,4,a_pe
888,888,86,3,bicicleta
889,889,104,2,metro
890,890,35,4,carro
891,891,47,2,bicicleta
892,892,71,2,metro
893,893,34,1,carro
894,894,79,2,metro
895,895,50,3,bicicleta
896,896,46,2,bicicleta
897,897,107,2,onibus
898,898,125,4,a_pe
899,899,60,3,metro
900,900,38,4,bicicleta
901,901,62,1,onibus
902,902,77,1,onibus
903,903,24,1,onibus
904,904,10,1,metro
905,905,119,2,a_pe
906,906,56,4,onibus
907,907,64,1,bicicleta
908,908,96,4,carro
909,909,44,1,a_pe
910,910,129,2,a_pe
911,911,93,4,a_pe
912,912,49,1,metro
913,913,115,3,metro
914,914,50,1,onibus
915,915,24,2,bicicleta
916,916,19,3,metro
917,917,52,2,a_pe
918,918,46,2,a_pe
919,919,14,4,a_pe
920,920,100,4,onibus
921,921,53,2,carro
922,922,22,2,metro
923,923,72,1,onibus
924,924,109,1,a_pe
925,925,117,1,onibus
926,926,61,4,carro
927,927,44,4,onibus
928,928,74,2,carro
929,929,76,4,carro
930,930,78,1,a_pe
931,931,100,3,onibus
932,932,63,2,onibus
933,933,123,2,metro
934,934,33,1,carro
935,935,114,2,carro
936,936,81,4,a_pe
937,937,27,1,a_pe
938,938,41,1,onibus
939,939,112,2,a_pe
940,940,49,1,carro
941,941,18,4,carro
942,942,76,4,a_pe
943,943,72,2,metro
944,944,83,4,metro
945,945,127,2,a_pe
946,946,72,4,onibus
947,947,25,3,bicicleta
948,948,125,4,metro
949,949,118,3,carro
950,950,122,3,onibus
951,951,13,2,onibus
952,952,89,1,carro
953,953,123,3,metro
954,954,46,2,carro
955,955,78,3,metro
956,956,125,1,onibus
957,957,104,4,carro
958,958,39,4,onibus
959,959,48,3,carro
960,960,51,1,carro
961,961,45,2,onibus
962,962,5,2,onibus
963,963,86,2,bicicleta
964,964,74,4,onibus
965,965,85,4,onibus
966,966,36,4,onibus
967,967,113,3,metro
968,968,13,2,onibus
969,969,107,1,onibus
970,970,41,4,bicicleta
971,971,67,4,carro
972,972,23,1,onibus
973,973,119,1,bicicleta
974,974,41,4,carro
975,975,43,2,carro
976,976,91,3,a_pe
977,977,125,4,metro
978,978,28,2,bicicleta
979,979,12,3,carro
980,980,41,1,a_pe
981,981,16,1,carro
982,982,128,4,a_pe
983,983,32,2,bicicleta
984,984,32,4,bicicleta
985,985,111,1,a_pe
986,986,6,4,carro
987,987,91,4,metro
988,988,96,2,carro
989,989,102,2,bicicleta
990,990,85,3,onibus
991,991,64,3,metro
992,992,11,3,a_pe
993,993,66,1,onibus
994,994,44,2,onibus
995,995,92,4,a_pe
996,996,21,4,metro
997,997,117,2,carro
998,998,48,2,bicicleta
999,999,25,4,carro
1000,1000,32,2,metro
1001,1001,94,4,metro
1002,1002,115,2,carro
1003,1003,12,4,metro
1004,1004,43,2,a_pe
1005,1005,35,2,metro
1006,1006,114,1,onibus
1007,1007,38,4,carro
1008,1008,59,4,carro
1009,1009,123,1,metro
1010,1010,72,1,bicicleta
1011,1011,130,3,carro
1012,1012,120,1,bicicleta
1013,1013,45,2,onibus
1014,1014,32,4,onibus
1015,1015,113,1,onibus
1016,1016,93,1,carro
1017,1017,101,3,metro
1018,1018,32,1,carro
1019,1019,102,1,bicicleta
1020,1020,74,1,bicicleta
1021,1021,80,2,carro
1022,1022,10,4,onibus
1023,1023,12,4,a_pe
1024,1024,69,3,bicicleta
1025,1025,55,3,carro
1026,1026,71,3,metro
1027,1027,25,3,metro
1028,1028,113,4,a_pe
1029,1029,54,3,a_pe
1030,1030,47,3,a_pe
1031,1031,112,3,carro
1032,1032,129,2,bicicleta
1033,1033,27,4,a_pe
1034,1034,48,1,onibus
1035,1035,82,2,metro
1036,1036,107,3,metro
1037,1037,95,4,a_pe
1038,1038,44,3,metro
1039,1039,114,2,metro
1040,1040,16,4,a_pe
1041,1041,12,3,metro
1042,1042,29,1,carro
1043,1043,82,4,onibus
1044,1044,93,3,metro
1045,1045,100,1,metro
1046,1046,90,3,a_pe
1047,1047,117,4,a_pe
1048,1048,84,2,onibus
1049,1049,27,3,onibus
1050,1050,42,2,bicicleta
1051,1051,54,2,a_pe
1052,1052,23,2,onibus
1053,1053,122,4,carro
1054,1054,86,3,metro
1055,1055,32,4,metro
1056,1056,85,3,a_pe
1057,1057,130,4,a_pe
1058,1058,32,1,a_pe
1059,1059,45,3,bicicleta
1060,1060,23,4,a_pe
1061,1061,50,3,a_pe
1062,1062,114,1,carro
1063,1063,91,4,metro
1064,1064,86,1,metro
1065,1065,96,4,bicicleta
1066,1066,123,3,bicicleta
1067,1067,124,1,carro
1068,1068,90,3,metro
1069,1069,125,2,a_pe
1070,1070,73,4,a_pe
1071,1071,19,1,a_pe
1072,1072,45,1,carro
1073,1073,55,1,onibus
1074,1074,124,3,carro
1075,1075,51,1,onibus
1076,1076,68,3,bicicleta
1077,1077,85,1,bicicleta
1078,1078,71,4,bicicleta
1079,1079,116,4,onibus
1080,1080,16,3,bicicleta
1081,1081,72,1,onibus
1082,1082,67,1,bicicleta
1083,1083,61,2,bicicleta
1084,1084,63,1,onibus
1085,1085,98,2,a_pe
1086,1086,69,2,onibus
1087,1087,50,4,metro
1088,1088,87,3,metro
1089,1089,12,4,onibus
1090,1090,52,1,onibus
1091,1091,56,4,a_pe
1092,1092,83,1,carro
1093,1093,39,2,carro
1094,1094,102,2,a_pe
1095,1095,117,2,onibus
1096,1096,82,3,a_pe
1097,1097,15,1,metro
1098,1098,90,2,metro
1099,1099,68,1,onibus
1100,1100,125,4,metro
1101,1101,21,3,a_pe
1102,1102,51,2,onibus
1103,1103,125,2,metro
1104,1104,108,1,metro
1105,1105,115,3,bicicleta
1106,1106,83,1,carro
1107,1107,57,3,metro
1108,1108,129,1,a_pe
1109,1109,22,1,onibus
1110,1110,87,3,a_pe
1111,1111,31,1,onibus
1112,1112,72,4,a_pe
1113,1113,116,1,onibus
1114,1114,77,4,bicicleta
1115,1115,125,2,carro
1116,1116,7,3,carro
1117,1117,123,3,carro
1118,1118,84,2,onibus
1119,1119,75,1,metro
1120,1120,129,1,metro
1121,1121,50,3,a_pe
1122,1122,5,4,metro
